address,name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
"Shop 547, 32nd C Cross, 9th Main, 4th Block, Jayanagar, Bangalore",Enerjuvate Studio & Cafe,No,Yes,4.2,731,Jayanagar,Cafe,"Cafe, Continental, Beverages, Healthy Food, Desserts, Sandwich, Pizza, Salad",800,Cafes,Basavanagudi
"Opposite Vijaya Junior College, 14th Main, 30th Cross, Jayanagar, Bangalore",The Caramelts Cafe,No,No,4.2,223,Jayanagar,Cafe,"Cafe, Salad, Wraps, Beverages",800,Cafes,Basavanagudi
"34/1, 1st Cross, 6th Main, 4th Block, Jayanagar, Bangalore",SlimSins Cafe,No,No,4.1,707,Jayanagar,Cafe,"Cafe, Healthy Food",850,Cafes,Basavanagudi
"Shop 66/1, 4th Block, Near Maiys Hotel, 33rd Cross Road, Jayanagar, Bangalore",Cafe Ajfan,Yes,No,4.2,261,Jayanagar,Cafe,"Cafe, Continental, Beverages",700,Cafes,Basavanagudi
"941, 3rd FLOOR, 21st Main, 22nd Cross, Banashankari 2nd stage, Opposite to BDA complex, Banashankari",Cafe Shuffle,Yes,Yes,4.2,150,Banashankari,Cafe,"Cafe, Italian, Continental",600,Cafes,Basavanagudi
"12, 10th B Main, 31st Cross Road, 4th Block, Jayanagar, Bangalore",Krazzy Folds,Yes,Yes,4.2,1901,Jayanagar,Cafe,"Cafe, Continental, Sandwich, Beverages",800,Cafes,Basavanagudi
"1, 30th Main Road, 3rd Stage, Banashankari, Bangalore",Penthouse Cafe,Yes,No,4.0,324,Banashankari,Cafe,"Cafe, Italian, Continental",700,Cafes,Basavanagudi
"615/1, Ground Floor, Janardhan Mansion, 10th C Main, 32nd D Cross, 4th Block, Jayanagar, Bangalore",The Blue Wagon - Kitchen,Yes,No,4.6,228,Jayanagar,Cafe,"Cafe, Beverages",400,Cafes,Basavanagudi
"2470, 21 Main Road, 25th Cross, Banashankari, Bangalore",Smacznego,Yes,No,4.2,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,Cafes,Basavanagudi
"22, 2nd Main Road, National College Road, 7th Block, Jayanagar, Bangalore",The Airos,Yes,No,4.1,130,Jayanagar,Cafe,"Cafe, Italian, Pizza",650,Cafes,Basavanagudi
"Ground floor, Eight-O-Four Avenue, 9th main road, 4th block, Jayanagar, Bangalore",Starbucks,No,No,4.1,108,Jayanagar,Cafe,"Cafe, Desserts",700,Cafes,Basavanagudi
"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",San Churro Cafe,Yes,No,3.8,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800,Cafes,Basavanagudi
"2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore",Cafe Vivacity,Yes,No,3.8,90,Banashankari,Cafe,Cafe,650,Cafes,Basavanagudi
"28, Pattalamma Temple Road, 2nd Block, Jayanagar, Bangalore",The Studio Cafe,No,No,3.8,20,Jayanagar,Cafe,"Cafe, Beverages",400,Cafes,Basavanagudi
"405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",Kirthi's Biryani,Yes,No,3.8,144,Banashankari,Cafe,"Chinese, Cafe, Italian",700,Cafes,Basavanagudi
"321, 36th A Cross, 7th Main, 5th Block, Jayanagar, Bangalore",La Grande Cafe,No,No,3.8,46,Jayanagar,Cafe,Cafe,400,Cafes,Basavanagudi
"10th Main, 36th Cross, Jayanagar 4th Block, Jayanagar, Bangalore",36th Cross Coffee Mane,No,No,3.6,16,Jayanagar,Quick Bites,"South Indian, Chinese, Beverages, Cafe, Coffee, Fast Food, Momos, North Indian",200,Cafes,Basavanagudi
"524, 10th Main, 4th Block, Jayanagar, Bangalore",4th Tea Block,No,No,4.0,62,Jayanagar,Cafe,Cafe,150,Cafes,Basavanagudi
"2, Old 36, 8th F Main, 3rd Block, Jayanagar, Bangalore",Grazers,Yes,Yes,3.9,291,Jayanagar,Cafe,"Cafe, Burger, Continental, Italian, Desserts",650,Cafes,Basavanagudi
"Opposite Andhra Bank, Ashoka Pillar Main Road, 2nd Block, Jayanagar, Bangalore",Cuppa,No,No,3.2,59,Jayanagar,"Cafe, Casual Dining","Cafe, Fast Food",550,Cafes,Basavanagudi
"27th Cross Rd, Banashankari Stage II, Banashankari, Bangalore",Coffee Tindi,Yes,No,3.8,75,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",200,Cafes,Basavanagudi
"54/7, Old no 54, 30th Cross B, Main Road, Corp Layout, Jayanagar, Bangalore",Brews N Bites,Yes,No,2.9,62,Jayanagar,"Quick Bites, Cafe","Chinese, Fast Food, Cafe",650,Cafes,Basavanagudi
"586/51, 10th Cross, 7th Block, Jayanagar, Bangalore (Opp: Nethradhama Eye Hospital)",Brew Bakes,No,No,3.4,13,Jayanagar,Cafe,"Cafe, Continental, Italian",550,Cafes,Basavanagudi
"Lal Bagh Main Road, Sampangi Rama Nagar, Near Shanti Nagar, Bangalore",Bread and Circus,Yes,No,3.7,50,Shanti Nagar,Cafe,"Cafe, Fast Food, Pizza, Burger",550,Cafes,Basavanagudi
"63/2, 8th Main, 18th Cross, 3rd Block, Jayanagar, Bangalore",Java City,Yes,No,2.6,157,Jayanagar,Cafe,"Cafe, American, Pizza",450,Cafes,Basavanagudi
"Opposite BMTC Bus Stand, Shanti Nagar, Bangalore",Swati Cafe,No,No,2.9,8,Shanti Nagar,Cafe,"Cafe, Fast Food",500,Cafes,Basavanagudi
"1036, Srinidhi Plaza, 3rd floor, Above Nilgiris, Stage 2, Banashankari, Bangalore",Sea Green Cafe,No,No,3.3,4,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500,Cafes,Basavanagudi
"13-A, 32nd Cross, 7th Block, Jayanagar, Bangalore",Rustic Treats,No,No,3.3,4,Jayanagar,"Quick Bites, Cafe","Street Food, Cafe",400,Cafes,Basavanagudi
"47, 48 &49, 3Rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",360 Atoms Restaurant And Cafe,Yes,No,3.1,13,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",400,Cafes,Basavanagudi
"692, 12th Cross Road, Near Nethradhama, Jayanagar, Bangalore",People Tree Cafe,No,No,3.7,168,Jayanagar,Cafe,"Cafe, Fast Food, Beverages",400,Cafes,Basavanagudi
"11/2, Ground Floor, Khazi Street, Basavanagudi, Bangalore",Al Diwan Biryanis And More,Yes,No,3.3,12,Basavanagudi,"Takeaway, Delivery",Biryani,300,Delivery,Basavanagudi
"93/A 4th 'B' Cross, Koramangala 5th Block, Bangalore",eat.fit,Yes,No,4.6,143,Koramangala 5th Block,Delivery,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500,Delivery,Basavanagudi
"10, Stavyah Arcade, 3rd Floor 9th Main, Yarab Nagar Main Road, Banashankari, Bangalore",FreshMenu,Yes,No,3.9,627,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery,Basavanagudi
"38, 1st Main Mount Joy Extension, Banashankari, Bangalore",Five Star Chicken,Yes,No,3.4,129,Banashankari,Quick Bites,"Fast Food, Burger",200,Delivery,Basavanagudi
"568, 11th Main Road, 32nd Cross, 4th Block, Jayanagar, Bangalore",Leon Grill,Yes,No,4.1,414,Jayanagar,Quick Bites,"Burger, Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts",500,Delivery,Basavanagudi
"12 & 12/1, Ground Floor, 10th B Main, 31st Cross Road, 4th Block, Jayanagar, Bangalore",Dr. Bubbles,Yes,No,4.2,95,Jayanagar,"Beverage Shop, Dessert Parlor","Beverages, Desserts",400,Delivery,Basavanagudi
"4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, Bangalore",Empire Restaurant,Yes,No,4.4,4884,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,Delivery,Basavanagudi
"21, 80 Feet Road, 3rd Phase, 4th Block, 3rd Stage, Banashankari, Bangalore",Anna Kuteera,Yes,No,4.0,771,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450,Delivery,Basavanagudi
"Rashtriya Vidyalaya Road, Basavanagudi, Bangalore",Energy Addaa,Yes,No,4.2,64,Basavanagudi,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500,Delivery,Basavanagudi
"11/2, Old Market, V V Puram, Basavanagudi, Bangalore",Dev Sagar - Food Street,Yes,No,4.1,233,Basavanagudi,Quick Bites,Street Food,200,Delivery,Basavanagudi
"1, 80 Feet Road, 6th Block, 3rd Stage, Banashankari, Bangalore",KFC,Yes,No,3.8,505,Banashankari,Quick Bites,"Burger, Fast Food",450,Delivery,Basavanagudi
"4001/4002, Annapoorneshwari Plaza, Near Seetha Circle, Hosakerehalli Cross, Banashankari, Bangalore",Bengaluru Coffee House,Yes,No,4.1,201,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Delivery,Basavanagudi
"62, RB Fashion House, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",Shanmukha,Yes,No,4.0,774,Koramangala 5th Block,Casual Dining,"Biryani, Andhra, North Indian, Chinese",800,Delivery,Basavanagudi
"7th Cross, 6th Main, Shakambhari Nagar, Sarakki, JP Nagar, Bangalore",Bhukkhad Baba,Yes,No,3.7,125,JP Nagar,Quick Bites,"North Indian, Beverages",250,Delivery,Basavanagudi
"169, Subbarama Chetty Rd, NR Colony, Basavanagudi, Bangalore",Chinese Square,Yes,No,3.9,38,Basavanagudi,Quick Bites,Chinese,200,Delivery,Basavanagudi
"39/1, R.V Road, Opposite Vijaya College, Basavanagudi, Bangalore",House Of Kebabs,Yes,No,3.8,540,Basavanagudi,Casual Dining,"North Indian, Kebab, Biryani, Chinese",650,Delivery,Basavanagudi
"41/1, Bull Temple Road, Near BMSCE, Basavanagudi, Bangalore",Subway,Yes,No,3.7,176,Basavanagudi,Quick Bites,"Salad, Fast Food",600,Delivery,Basavanagudi
"144/1, 22, 22nd Cross, 24th Main Road Marenahalli, JP Nagar, Bangalore",Kolkata Kathi Rolls,Yes,No,3.8,23,JP Nagar,Quick Bites,Rolls,150,Delivery,Basavanagudi
"764/44, 37th Cross 18th Main, 4th T Block, Jayanagar, Bangalore",Mysuru Coffee Thindi,Yes,No,4.1,296,Jayanagar,Quick Bites,"South Indian, Coffee",200,Delivery,Basavanagudi
"53, Second Floor, 9th Cross, 80 Feet Road, Sarakki Village, JP Nagar, Bangalore",Smoke-A-Pot,Yes,No,3.6,91,JP Nagar,"Takeaway, Delivery","Biryani, North Indian, Rolls",500,Delivery,Basavanagudi
"39, 3rd Main,4th Cross, Hanumanth Nagar, Near, Basavanagudi, Bangalore",Chaatimes,Yes,No,3.8,133,Basavanagudi,Quick Bites,"Street Food, Fast Food",200,Delivery,Basavanagudi
"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",Wamama,Yes,Yes,4.2,354,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,Delivery,Basavanagudi
"77/1, 24th Main, 2nd Phase, JP Nagar, Bangalore",Shanthi Sagar,Yes,No,3.6,518,JP Nagar,Casual Dining,"South Indian, North Indian, Chinese",400,Delivery,Basavanagudi
"1069, 27th Main, 39th Cross, 9th Block, Jayanagar, Bangalore",Just Shawarma,Yes,No,4.3,792,Jayanagar,Quick Bites,Arabian,300,Delivery,Basavanagudi
"67, Kanasu Complex, Kubirmutt Road, Hunumathathangar, Basavanagudi, Bangalore",Chinese Kitchen,Yes,No,3.8,58,Basavanagudi,Quick Bites,Chinese,150,Delivery,Basavanagudi
"No.37, Shree Complex, Next to Dominoes Pizza, Bull temple Road, Basavanagudi, Bangalore",Vijayalakshmi,Yes,No,3.9,47,Basavanagudi,Quick Bites,South Indian,200,Delivery,Basavanagudi
"59/3, Ground & First Floor, West Anjaneya Temple Road, Ward 49, Gandhi Bazaar, Basavanagudi, Bangalore",Burger King,Yes,No,3.2,71,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",600,Delivery,Basavanagudi
"2470, 21 Main Road, 25th Cross, Banashankari, Bangalore",Smacznego,Yes,No,4.2,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,Delivery,Basavanagudi
"31, Opposite Vijaya College, RV Road, Basavanagudi, Bangalore",Kabab Magic,Yes,No,4.1,1720,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400,Delivery,Basavanagudi
"1304, Kathriguppe Main Road, Ashok Nagar, NR Colony, Basavanagudi, Bangalore",Lassi Corner,Yes,No,3.7,107,Basavanagudi,Beverage Shop,"Beverages, Ice Cream",150,Delivery,Basavanagudi
"3rd Cross Road, Venkateshwara Layout, Suddagunte Palya, BTM, Bangalore",The Biriyani Pedia,Yes,No,3.9,55,BTM,Quick Bites,Biryani,300,Delivery,Basavanagudi
"35/24, PTG Complex, 11th Main Road, 46th Cross, 5th Block, Opposite Raghavendra Matha Temple, Jayanagar, Bangalore",Paratha Junction,Yes,No,3.2,395,Jayanagar,Quick Bites,"North Indian, Chinese",300,Delivery,Basavanagudi
"Near McDonald's, 4th Block, Jayanagar, Bangalore",SL Vadapav,Yes,No,4.0,78,Jayanagar,Quick Bites,Maharashtrian,100,Delivery,Basavanagudi
"37, Diagonally Opposite Ranga Shankara, 2nd Phase, JP Nagar, Bangalore",Adithya,Yes,No,4.0,332,JP Nagar,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery,Basavanagudi
"915, 24th Main Road, 2nd Phase, Mayura Circle, JP Nagar, Bangalore",Paradise,Yes,No,4.0,1975,JP Nagar,Casual Dining,"Biryani, North Indian, Kebab",800,Delivery,Basavanagudi
"178, Next To Old KEB Office, 8th F Main Road, 24b Cross, 3rd Block, Jayanagar, Bangalore",Biryanis And More,Yes,No,4.0,618,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750,Delivery,Basavanagudi
"546/5, Langford Road, Opposite Hockey Stadium, Shanti Nagar, Bangalore",Wazir's,Yes,No,3.3,261,Shanti Nagar,Casual Dining,"North Indian, Chinese",500,Delivery,Basavanagudi
"Opposite Kala Mandir, 11th Main, 4th Block, Jayanagar, Bangalore",Krispy Kreme,Yes,No,4.0,253,Jayanagar,Dessert Parlor,"Desserts, Beverages",300,Delivery,Basavanagudi
"No.1585, 22nd Main,Banashankari 1st Stage",Udupi Upahar,Yes,No,3.8,58,Banashankari,Quick Bites,"South Indian, Chinese, North Indian, Juices",300,Delivery,Basavanagudi
"406, 2nd Cross, Vidyapeeta Layout, Banashankri, Bangalore",Kababs N Biryani,Yes,No,3.4,22,Banashankari,Quick Bites,South Indian,200,Delivery,Basavanagudi
"2/1, Bannerghatta Main Road, Bannerghatta Road, Bangalore",Madeena Hotel,Yes,No,3.9,50,Bannerghatta Road,Quick Bites,"North Indian, Mughlai, Biryani",400,Delivery,Basavanagudi
"17, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",Roti Ghar,Yes,No,3.9,750,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian",500,Delivery,Basavanagudi
"24, 1st A Cross, 2nd Phase, Main Road, JP Nagar, Bangalore",Marenahalli Donne Biriyani,Yes,No,3.9,259,JP Nagar,Quick Bites,"Biryani, Fast Food",300,Delivery,Basavanagudi
"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",Onesta,Yes,Yes,4.6,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Delivery,Basavanagudi
"30th Cross, 8th Main, Near Jain Temple, 4th Block, Jayanagar, Bangalore",Namma Brahmin's Idli,Yes,No,3.6,34,Jayanagar,Quick Bites,South Indian,100,Delivery,Basavanagudi
"Hi Street Mall, 11th Main Road, Opposite Vijaya P.U Collage, 4th Block, Jayanagar, Bangalore",Keventers,Yes,No,3.9,210,Jayanagar,"Beverage Shop, Dessert Parlor","Desserts, Beverages, Ice Cream",400,Delivery,Basavanagudi
"96, Opposite Jain Collage, Basavanagudi, Bangalore",Polar Bear,Yes,No,3.8,71,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery,Basavanagudi
"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Behrouz Biryani,Yes,No,3.9,230,Banashankari,Delivery,Biryani,650,Delivery,Basavanagudi
"40, 13th Cross, Metro Pillar 58, 1st Phase, JP Nagar, Bangalore",Namma Banashankari Donne Biryani,Yes,No,4.0,94,JP Nagar,Quick Bites,"Biryani, Kebab",250,Delivery,Basavanagudi
"81, East Anjaneya Street, NR Colony, Near Basavanagudi, Basavanagudi, Bangalore",Puliyogare Point,Yes,No,4.2,444,Basavanagudi,Quick Bites,South Indian,100,Delivery,Basavanagudi
"6th C Main, 4th Block, Jayanagar, Bangalore",Kedia's Fun Food,Yes,No,4.3,630,Jayanagar,Quick Bites,"North Indian, Street Food, Juices",200,Delivery,Basavanagudi
"155, 43rd Cross Road, 8th Block, Jayanagar, Bangalore",Sri Udupi Food Hub,Yes,Yes,4.1,175,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500,Delivery,Basavanagudi
"31/1, Puttalingaiah Road, Second Stage, Bangalore, Banashankari, Bangalore",Udupi Ruchi,Yes,No,3.9,57,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,Delivery,Basavanagudi
"4009, 80 Feet Road, 4th Phase, Banashankari, Bangalore",Donne Biriyani House,Yes,No,3.9,441,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani",400,Delivery,Basavanagudi
"218/1,11th Main, 50 Feet Road, Hanumanthnagar, Banashankari, Bangalore",Banashankari Donne Biriyani,Yes,No,3.8,104,Banashankari,Quick Bites,"Biryani, Fast Food",300,Delivery,Basavanagudi
"14, Krishnanagara Industrial Area, Next To Christ College, Near Dairy Circle, BTM, Bangalore",Dadi's Dum Biryani,Yes,Yes,4.1,2723,BTM,Casual Dining,"Biryani, North Indian, Mughlai",800,Delivery,Basavanagudi
"2469, 21st Cross, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Pizza Hut,Yes,No,3.8,693,Banashankari,Casual Dining,"Pizza, Fast Food",750,Delivery,Basavanagudi
"855/A, 5th A Cross,10th Main Road, Srinivasanagar, Towords Maruthi Circle, Banashankari, Bangalore",Bhattara Bhojana,Yes,No,3.6,66,Banashankari,Quick Bites,South Indian,150,Delivery,Basavanagudi
"52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, Bangalore",Meghana Foods,Yes,No,4.4,4401,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600,Delivery,Basavanagudi
"44, 3rd Cross, Marenahalli, 2nd Phase, JP Nagar, Bangalore",Kabab Mehal,Yes,No,3.7,65,JP Nagar,Quick Bites,"Kebab, North Indian, Fast Food, Beverages",400,Delivery,Basavanagudi
"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Ovenstory Pizza,Yes,No,3.9,172,Banashankari,Delivery,Pizza,750,Delivery,Basavanagudi
"13, Opposite Auchan Hyper Market, Bannerghatta Road, Bangalore",Chicken County Grand,Yes,No,3.9,319,Bannerghatta Road,Casual Dining,"North Indian, Chinese",650,Delivery,Basavanagudi
"101 Ground Floor, Manjunatha Complex, 22nd Main Road, Banashankari, Bangalore",Sweet Truth,Yes,No,3.9,35,Banashankari,Delivery,"Bakery, Desserts",500,Delivery,Basavanagudi
"25, 9th Cross, 34th Main, ITI Layout, 1st Phase, JP Nagar, Bangalore",Prasiddhi Food Corner,Yes,No,3.7,170,JP Nagar,Quick Bites,"Fast Food, North Indian, South Indian",200,Delivery,Basavanagudi
"No.16/30, Ground Floor, NS Palya, Bannerghatta Main Road, BTM layout, Bangalore",Fresh Kitchen,Yes,No,3.4,13,Bannerghatta Road,Casual Dining,"North Indian, Chinese",600,Delivery,Basavanagudi
"525/2, Opposite Lacasa, 10th Main, 33rd Cross, 4th Block, Jayanagar, Bangalore",Chai Point,Yes,No,3.2,208,Jayanagar,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food",250,Delivery,Basavanagudi
"97, Opposite Jain College, Kavi Lakshmisha Road, VV Puram, Basavanagudi, Bangalore",Twiststick House,Yes,No,4.1,163,Basavanagudi,Quick Bites,"Continental, Fast Food, Street Food, Momos",500,Delivery,Basavanagudi
"25/4, 7th Block K.R Road, 8TH Cross Opposite, HDFC Bank, Jayanagar, Bangalore",Starlite Bakery & Fastfood,Yes,No,3.7,23,Jayanagar,Quick Bites,"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts",300,Delivery,Basavanagudi
"28/29, 9th Main Road, 3rd Block, Jayanagar, Bangalore",Wahab,Yes,No,3.7,97,Jayanagar,Quick Bites,"North Indian, Mughlai, Chinese",350,Delivery,Basavanagudi
"80, BDA Complex, 2nd Stage, Banashankari, Bangalore",Faasos,Yes,No,4.2,415,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",500,Delivery,Basavanagudi
"2, Old 36, 8th F Main, 3rd Block, Jayanagar, Bangalore",Grazers,Yes,Yes,3.9,291,Jayanagar,Cafe,"Cafe, Burger, Continental, Italian, Desserts",650,Delivery,Basavanagudi
"8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, Bangalore",Szechuan Dragon,Yes,No,4.2,1647,Banashankari,Casual Dining,"Chinese, Thai, Momos",600,Delivery,Basavanagudi
"805, Ground Floor, 35C Cross, 9th Main, 4th Block, Jayanagar, Bangalore",Patio 805,Yes,Yes,4.1,364,Jayanagar,Casual Dining,"Thai, Vietnamese, Asian, Chinese",1200,Delivery,Basavanagudi
"162 , Kathreguppe Cross Road, 3rd Stage, Banashankari, Bangalore",Janahaar,Yes,No,3.8,70,Banashankari,Quick Bites,South Indian,100,Delivery,Basavanagudi
"32, 22nd Cross, 22nd Main, 2nd Stage, Near BDA Complex, Banashankari, Bangalore",Juicy Momos,Yes,No,3.5,80,Banashankari,Quick Bites,"Tibetan, Momos",250,Delivery,Basavanagudi
"17, Ground Floor, Near Big Bazar, 100 Feet Ring Road, 3rd Stage, Banashankari, Bangalore",Gama Gama,Yes,No,3.9,264,Banashankari,Quick Bites,South Indian,200,Delivery,Basavanagudi
"Opposite Bangalore Central Mall, 9th Block, Jayanagar, Bangalore",Upahara Darshini,Yes,No,4.0,166,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese",400,Delivery,Basavanagudi
"36/1, 27th Cross, 4th Block, Jayanagar, Bangalore",Bangalore Agarwal Bhavan,Yes,No,3.9,134,Jayanagar,Quick Bites,"Street Food, North Indian, South Indian",400,Delivery,Basavanagudi
"27, Gandhi Bazaar Main Rd, Basavanagudi, Bangalore",Just Thindi,Yes,No,3.6,16,Basavanagudi,Quick Bites,South Indian,200,Delivery,Basavanagudi
"42, Vani Vilas Road, Ramakrishna Ashrama Circle, Basavanagudi, Bangalore",SLV Corner Restaurant,Yes,No,4.1,364,Basavanagudi,Casual Dining,"South Indian, Chinese, North Indian, Street Food, Rolls, Juices",550,Delivery,Basavanagudi
"1478/1, 18th Main, 40th Cross, 4th T Block, Jayanagar, Bangalore",Tummy Fuel,Yes,No,4.2,449,Jayanagar,Cafe,"Cafe, Beverages, Fast Food",400,Delivery,Basavanagudi
"Subam Tower, Pb/NO 455, 14, Next to UD Roti Ghar, Gandhi Bazaar, Basavanagudi, Bangalore",XO Belgian Waffle,Yes,No,3.9,56,Basavanagudi,Dessert Parlor,"Desserts, Beverages",400,Delivery,Basavanagudi
"382/71 - 3, 11th Main Road, 3rd Block, Jayanagar, Bangalore",Kanti Sweets,Yes,No,3.9,148,Jayanagar,Quick Bites,"Mithai, Street Food",400,Delivery,Basavanagudi
"101, Ground Floor, Manjunatha Complex, 22nd Main Road, Banashankari, Bangalore",Firangi Bake,Yes,No,4.0,53,Banashankari,Delivery,"Mexican, Italian",600,Delivery,Basavanagudi
"2467, 24th Cross, 2nd Stage, Banashankari, Bangalore",Vinny's,Yes,Yes,4.2,2115,Banashankari,Casual Dining,"Pizza, Italian, Continental, Desserts",800,Delivery,Basavanagudi
"Swagath Main Road, Near Garuda Mall, Jayanagar, Bangalore",Pani Kum Chai,Yes,No,3.9,67,Jayanagar,Quick Bites,Fast Food,200,Delivery,Basavanagudi
"7/1, Behind BMS College Hostel, Hanumantha Nagar, Banashankari, Bangalore",Mini Punjabi Dhaba,Yes,No,4.2,287,Banashankari,Quick Bites,North Indian,350,Delivery,Basavanagudi
"Shubashree Complex, 50 Feet Road, 1st Stage, Hanumanthanagar, Near Girinagar, Banashankari, Bangalore",Matru Sagar,Yes,No,3.6,84,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",250,Delivery,Basavanagudi
"15, 24th Main Road, 1st Phase, JP Nagar, Bangalore",Stories,Yes,Yes,4.2,2171,JP Nagar,"Pub, Casual Dining","American, Chinese, Continental, North Indian",1200,Delivery,Basavanagudi
"Old Market, V V Puram, Basavanagudi, Bangalore",Lassi Shop,Yes,No,3.7,21,Basavanagudi,Beverage Shop,"Beverages, Juices",100,Delivery,Basavanagudi
"#72, 3rd Cross DSI Road, Teachers Colony, Kumaraswamy Layout, Bangalore",Tanna's Kitchen,Yes,No,3.1,7,Kumaraswamy Layout,Quick Bites,"Italian, Chinese, Street Food",250,Delivery,Basavanagudi
"1319, 100 Feet Road, 2nd Phase, JP Nagar, Bangalore",Andhra Ruchulu,Yes,Yes,4.2,1428,JP Nagar,Casual Dining,"Andhra, North Indian",800,Delivery,Basavanagudi
"79, Vanivilas Road, Next to KFC, Basavanagudi, Bangalore",HOT COFFEE,Yes,No,4.1,70,Basavanagudi,Quick Bites,"South Indian, Chinese",150,Delivery,Basavanagudi
"92/1, Next to Vodafone Store, Gandhi Bazar Main Road, Basavanagudi, Bangalore",Goli Vada Pav No. 1,Yes,No,3.7,93,Basavanagudi,Quick Bites,Street Food,200,Delivery,Basavanagudi
"10, Near Maruti Sagar Automobiles, Bhavani Layout, Bannerghatta Road, Bangalore",Savoury - Sea Shell Restaurant,Yes,Yes,3.9,1227,Bannerghatta Road,Casual Dining,"Arabian, North Indian, Chinese, Seafood, Biryani, Rolls, Beverages",900,Delivery,Basavanagudi
"1253, 25th A Main, 41 Cross, 9th Block, Jayanagar, Bangalore",Rajanna Military Hotel,Yes,No,4.1,164,Jayanagar,Quick Bites,"Biryani, Fast Food",400,Delivery,Basavanagudi
"13, 32nd Cross, 7th Block, Jayanagar, Bangalore",Rustic Stove,Yes,No,3.8,577,Jayanagar,Casual Dining,"North Indian, South Indian, Biryani, Beverages",900,Delivery,Basavanagudi
"2nd Cross, JHBCS Layout, Kumaraswamy Layout, Bangalore",Cafe Zone,Yes,No,3.9,149,Kumaraswamy Layout,Quick Bites,"Fast Food, Chinese, Rolls",300,Delivery,Basavanagudi
"Big Bazar Compound, Opposite Central Mall, 9th Block, Jayanagar, Bangalore",Sri Sai 99 Variety Dosa,Yes,No,3.6,37,Jayanagar,Quick Bites,South Indian,300,Delivery,Basavanagudi
"89, Behind Venkateshwara Bar, Near PES College, 1st Stage, Banashankari, Bangalore",Hotel New Karavali,Yes,No,3.8,133,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",300,Delivery,Basavanagudi
"8, 1st Cross Road, Teachers Colony, Kumaraswamy Layout, Bangalore",Donne Biryani & Kabab Corner,Yes,No,3.3,12,Kumaraswamy Layout,Quick Bites,"Chinese, Biryani",200,Delivery,Basavanagudi
